Marca temporal;País;Provincia donde trabajas;Edad...4;Género...5;¿Estás haciendo home office?...6;¿En qué provincia trabajás?;Edad...8;Género...9;¿Estás haciendo home office?...10;Sentís que trabajando desde tu casa, tu productividad...;¿Tenés hijos?;¿Ya hacías home office antes de la pandemia?;Preferís...;La comunicación con tu equipo de trabajo;¿En qué tipo de empresa trabajás?;¿Querés contestar más preguntas?;¿Cuál es el rubro de la empresa?...18;Antes de la cuarentena ¿Qué porcentaje de la empresa estaba haciendo teletrabajo?;¿Qué herramientas de comunicación utilizas con tu equipo?;¿Hacés pausas para distenderte o trabajás de corrido?;Respecto a la vestimenta;¿Hacés el mismo horario que yendo a la oficina?;Respecto de la planificación;¿Preferís un ambiente tranquilo o con algo de ruido?;¿Usás auriculares para trabajar?;¿Te gustaría trabajar todos los días desde tu casa?;¿Creés que va a cambiar la forma de trabajar después de esta crisis?;Justifica la respuesta;¿Tu trabajo se puede hacer desde tu casa?;¿Hay sectores de la empresa que están haciendo teletrabajo?;¿La empresa brinda servicios considerados esenciales?;¿La empresa dio algún beneficio para que los empleados vayan a trabajar presencialmente?;En el caso que estés en cuarentena sin posibilidad de trabajar desde tu casa, ¿tu empleador te sigue pagando el sueldo?;Tipo de empresa;¿Cuál es el rubro de la empresa?...36;La empresa cumple con las pautas y condiciones de prevención;¿Querés recibir los resultados de esta encuesta por mail?;¿Querés recibir más información de los servicios y eventos de Data 4HR?
2020-03-20T16:10:59Z;Paraguay;Paraguay - Asunción;24;Mujer;Sí;NA;NA;NA;NA;Mejoró;No;No;Trabajar desde un bar/café;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Servicios de Recursos Humanos;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp, Webex, Monday;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Me pongo uno o dos objetivos nada más;Pongo música/radio;A veces;No;Tal vez;"Ante la situación, creo que muchas empresas han tenido que optar ""a la fuerza"" por esta modalidad de trabajo, que si bien ya existe hace varios años, al menos en mi país no era muy común aún, por lo que algunas puede que lo vean como una opción más viable cuando esto pase. Así también,  pienso que muchas personas van a darse cuenta si esta modalidad es o no aplicable a su estilo de vida/trabajo. 
Personalmente, esta experiencia está resultando bien y enriquecedora. La disciplina y la organización son fundamentales para poder cumplir con las tareas y objetivos del equipo, así que es un proceso de auto conocimiento también porque las condiciones de trabajo definitivamente no son las mismas.";NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T16:12:52Z;Paraguay;Asunción;38;Hombre;Sí;NA;NA;NA;NA;Empeoró;Sí;Sí;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Emprendimiento personal;Si;Medio de Comunicación;Entre un 10% y un 30%;Zoom, Hangouts/Google Meet, Slack, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Me pongo uno o dos objetivos nada más;Pongo música/radio;Nunca;Tal vez;Sí;al verse todos obligados las costumbres cambian, obviamente que no de todos;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T16:15:08Z;Paraguay;Asunción;27;Mujer;Sí;NA;NA;NA;NA;Empeoró;Sí;No;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;RRHH;Menos del 10%;Skype/Microsoft Teams, WhatsApp, webex;Sólo para comer;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;Sí, todo el tiempo;No;Sí;,;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T16:22:54Z;Paraguay;Asunción;27;Hombre;Sí;NA;NA;NA;NA;Sigue igual;No;No;Trabajar con gente en la oficina;Se mantiene igual de bien;Nacional;Si;Servicios;Menos del 10%;Skype/Microsoft Teams, WhatsApp, Webex - Monday;Sí;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo menos horas;Planifico todas las tareas del día;Pongo música/radio;Sí, todo el tiempo;No;Sí;La presión te obliga a moverte de forma diferente;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T16:52:24Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;49;Hombre;Sí;Sigue igual;Sí;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;energía;Entre 31% y el 50%;Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;Si;Planifico todas las tareas del día;Prefiero un ambiente en silencio;Sí, todo el tiempo;No;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No
2020-03-20T17:05:40Z;Chile;RM;26;Hombre;Sí;NA;NA;NA;NA;Mejoró;No;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Retail;Más del 80%;Zoom, Skype/Microsoft Teams, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T17:07:56Z;Argentina;NA;NA;NA;NA;Buenos Aires;37;Hombre;Sí;Sigue igual;Sí;No;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Venta de maquinarias;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;Nunca;Tal vez;Sí;Esto sera una visagra en el modo de comunicarnos y conectarnos...se profundizara un cambio en todo orden...y las consecuencias pueden ser drasticas si uno no se adapta;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:14:18Z;Paraguay;Asuncion;31;Hombre;Sí;NA;NA;NA;NA;Sigue igual;No;No;Trabajar desde tu casa;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Agronegocios;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te vestís como para ir a trabajar normalmente;No, trabajo más horas;Planifico todas las tareas del día;Prefiero un ambiente en silencio;A veces;Tal vez;Tal vez;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:15:04Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;37;Mujer;Sí;Mejoró;No;Sí;Trabajar en un cowork;Se mantiene igual de bien;Emprendimiento personal;Si;Consultoria de RRHH;Más del 80%;Zoom, Skype/Microsoft Teams, Slack, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Prefiero un ambiente en silencio;A veces;Tal vez;Sí;Varias de las empresas que experimentan como nueva esta metodología, es posible que la curva de aprendizaje cueste, pero tendrán resultados acerca de ciertas posiciones que pueden tranquilamente operar desde cualquier parte, y que no necesitaran dentro de una estructura estática. Posiblemente de la posibilidad de achicar sus espacios en común para bajar costos.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:17:05Z;Paraguay;Asunción;26;Hombre;Sí;NA;NA;NA;NA;Mejoró;Sí;No;Trabajar en un cowork;Se mantiene igual de bien;Nacional;Si;Recursos Humanos;Menos del 10%;Mail, WhatsApp, Webex;Sólo para comer;Te ponés lo primero que encontrás;Si;Planifico todas las tareas del día;Pongo música/radio;A veces;No;Tal vez;Creo que podría darse, pues se ahorran costos desde la empresa y a la persona le gusta hacer home office.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:18:57Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;58;Mujer;Sí;Mejoró;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Emprendimiento personal;Si;Consultoria;NA;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Planifico todas las tareas del día;Pongo música/radio;Nunca;Sí;No;Cada vez más habrá teletrabajo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:23:55Z;Argentina;NA;NA;NA;NA;Buenos Aires;41;Hombre;Sí;Sigue igual;No;No;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Metalúrgico;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo menos horas;Me pongo uno o dos objetivos nada más;Pongo música/radio;Sí, todo el tiempo;Tal vez;Sí;"La implementación y utilización de herramientas, como por ejemplo Teams, ayudará a cambiar la cultura y mitigar el prejuicio de la dirección en muchas empresas donde existía una negación al trabajo remoto.
También requerirá práctica y adecuación de los procesos de planificación y control de las tareas.";NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:26:11Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;25;Mujer;Sí;Mejoró;No;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Nacional;Si;IT;Más del 80%;Hangouts/Google Meet, Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;Si;Planifico todas las tareas del día;Pongo música/radio;A veces;No;Sí;Creo que esta experiencia me va a servir para organizar prioridades y comunicarnos mejor con mi equipo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:33:56Z;Paraguay;Asunción;35;Mujer;Sí;NA;NA;NA;NA;Sigue igual;Sí;No;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Nacional;Si;RRHH;Menos del 10%;Mail, WhatsApp, Webex;Sí;Sólo te preocupas de lo que te ponés de la cintura para arriba;Si;Planifico todas las tareas del día;NA;A veces;No;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T17:42:33Z;Argentina;NA;NA;NA;NA;Santa Fe;39;Mujer;Sí;Empeoró;Sí;Sí;Trabajar en un cowork;Es mucho peor;Empresa Estatal;Si;Industrial;Menos del 10%;Mail, WhatsApp, Red social interna (Yammer/Workplace);No;Te ponés lo primero que encontrás;No, trabajo menos horas;Voy viendo según el día;Prefiero un ambiente en silencio;Nunca;No;Tal vez;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T18:01:14Z;Chile;Cautin, Araucanía;52;Mujer;Sí;NA;NA;NA;NA;Empeoró;Sí;No;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Empresa Estatal;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T19:24:30Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;37;Mujer;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí;Sí;No;Sí;Nacional;Obra Social;Si;Sí;Sí
2020-03-20T19:25:30Z;Perú;Lima;41;Mujer;Sí;NA;NA;NA;NA;Sigue igual;Sí;No;Trabajar desde tu casa;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Agroindustrial;Menos del 10%;Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Pongo música/radio;Nunca;Tal vez;Sí;Por que permitió ver otras opciones y ajustes para que el trabajo mejore;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T19:43:36Z;Argentina;NA;NA;NA;NA;Buenos Aires;41;Hombre;Sí;Empeoró;Sí;No;Trabajar desde un bar/café;Se mantiene igual de bien;Multinacional;Si;Automotriz;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Me pongo uno o dos objetivos nada más;Prefiero un ambiente en silencio;A veces;Tal vez;Sí;Creo que este problema obliga a las empresas a cambiar definitivamente la forma de trabajar.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T20:50:40Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;23;Mujer;Sí;Mejoró;No;Sí;Trabajar desde tu casa;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Consultoria;Entre 31% y el 50%;Zoom, Hangouts/Google Meet, Slack, Mail, WhatsApp;No;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Prefiero un ambiente en silencio;A veces;Tal vez;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T21:35:50Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;22;Mujer;Sí;Mejoró;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Nacional;Si;Business Intelligence;Entre 31% y el 50%;Zoom, Hangouts/Google Meet, Slack, Mail, WhatsApp;Sí;Sólo te preocupas de lo que te ponés de la cintura para arriba;Si;Planifico todas las tareas del día;Pongo música/radio;A veces;Sí;Tal vez;Mi esperanza es que con esto los empleados demostremos que podemos ser igual o más eficientes desde casa y las empresas nos den más libertad con eso, que sea optativo el trabajo remoto. También  entiendo que hay gente con chicos que no pueden concentrarse o que simplemente prefieren trabajar desde la oficina para no mezclar ambientes o porque los ayuda más a concentrarse.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T21:41:17Z;Argentina;NA;NA;NA;NA;Chubut;33;Mujer;Sí;Mejoró;Sí;No;Trabajar desde un bar/café;Se mantiene igual de bien;Nacional;Si;Automotores;Menos del 10%;Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;Si;Me pongo uno o dos objetivos nada más;Prefiero un lugar donde circule gente;Nunca;Sí;Tal vez;Considero que esta crisis es una oportunidad forzosa de demostrar a los empleadores de mentalidad arcaica, que es posible ser productivo por voluntad, responsabilidad propia y autodisciplina.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T02:42:18Z;Argentina;NA;NA;NA;NA;Buenos Aires;34;Mujer;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Sí;No;No;Sí;Empresa del Estado;Consejo Profesional (organismo paraestatal);Más o menos;Sí;No
2020-03-21T10:59:31Z;Argentina;NA;NA;NA;NA;Córdoba;34;Hombre;Sí;Sigue igual;No;No;Trabajar en un cowork;Se mantiene igual de bien;Nacional;Si;Tecnológico;Menos del 10%;Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Me pongo uno o dos objetivos nada más;Prefiero un lugar donde circule gente;A veces;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-21T11:33:38Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;43;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Emprendimiento personal;Si;Consultoría de Estrategia de Gestión de Recursos Humanos;Más del 80%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;Si;Planifico todas las tareas del día;Pongo música/radio;Nunca;Sí;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T11:44:02Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;29;Mujer;Sí;Mejoró;No;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Multinacional;Si;IT;Entre 51% y un 80%;Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;A veces;Tal vez;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-21T11:54:42Z;Argentina;NA;NA;NA;NA;Salta;32;Mujer;Sí;Sigue igual;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Nacional;Si;IT;Más del 80%;Mail;Sólo para comer;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo menos horas;Planifico todas las tareas del día;Prefiero un ambiente en silencio;Nunca;Sí;Sí;Creo que muchas industrias tendrán la posibilidad de conocer los beneficios del home office;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-21T12:39:20Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;23;Hombre;Sí;Sigue igual;No;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Tecnologia;Entre un 10% y un 30%;Zoom, Hangouts/Google Meet, Slack, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Prefiero un ambiente en silencio;A veces;No;Tal vez;Muchas empresas que quizas no justificaban el home office van a darse cuenta de que si es posible hacerlo sin que baje la productividad;NA;NA;NA;NA;NA;NA;NA;NA;No;No
2020-03-21T12:45:57Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;53;Hombre;Sí;Sigue igual;Sí;No;Trabajar desde tu casa;Tuvimos que hacer ajustes pero va bien;Empresa Estatal;Si;Educacion;Menos del 10%;WhatsApp;Sí;Sólo te preocupas de lo que te ponés de la cintura para arriba;Si;Voy viendo según el día;Prefiero un ambiente en silencio;Nunca;Tal vez;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T12:56:55Z;Argentina;NA;NA;NA;NA;Neuquén;43;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Petroleo;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;Si;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;Tal vez;Hay otro modo de seguir manteniendo actividad.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T13:14:47Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;38;Hombre;Sí;Mejoró;No;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Emprendimiento personal;Si;Sistemas;Más del 80%;Zoom, Hangouts/Google Meet, Slack, Mail;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Voy viendo según el día;Prefiero un lugar donde circule gente;A veces;No;Sí;Las excusas viejas dejan de tener validez;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T13:23:39Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;44;Hombre;Sí;Mejoró;No;Sí;Trabajar desde tu casa;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;IT/Telecomunicaciones;Más del 80%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;Sí, todo el tiempo;Sí;Sí;Porque se va demostrar que la productividad no decayó y los costos operativos son menores.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T14:50:52Z;Argentina;NA;NA;NA;NA;Córdoba;30;Mujer;Sí;Mejoró;No;No;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Alimenticia;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Prefiero un ambiente en silencio;Nunca;No;Tal vez;Creo que puede aumentar la flexibilidad en los horarios y el trabajo home office cuando las personas comiencen a pedirlo.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-21T15:00:51Z;Argentina;NA;NA;NA;NA;Buenos Aires;25;Hombre;Sí;Mejoró;No;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Agencia de viajes online;Entre 51% y un 80%;Zoom, Hangouts/Google Meet, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;Sí;"Creo que dará precedencia para que se dicten mejores leyes laborales para incluir aún más al ""trabajador remoto"" en empresas que nunca lo hubieran considerado. Hoy, se le están rompiendo esquemas.";NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T17:26:44Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;30;Mujer;Sí;Sigue igual;No;No;Trabajar con gente en la oficina;Se mantiene igual de bien;Multinacional;Si;Bebidas - consumo masivo;Menos del 10%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;No;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo más horas;Planifico todas las tareas del día;Pongo música/radio;A veces;No;Sí;En lo personal, será una muestra chica para defender el beneficio de HO y demostrar la productividad. Igualmente consideró que el éxito es un mix entre HO responsable y la oficina.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T21:23:15Z;Argentina;NA;NA;NA;NA;Buenos Aires;36;Mujer;Sí;Empeoró;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Alimenticio;Entre 31% y el 50%;Skype/Microsoft Teams, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;Si;Voy viendo según el día;Pongo música/radio;A veces;No;Sí;Creo que van a cambiar muchas cosas después de este hito histórico.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T21:53:24Z;Argentina;NA;NA;NA;NA;Buenos Aires;28;Mujer;Sí;Sigue igual;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Automotriz;Entre 31% y el 50%;Skype/Microsoft Teams, Mail, Red social interna (Yammer/Workplace);Sólo para comer;Te ponés lo primero que encontrás;Si;Voy viendo según el día;Pongo música/radio;Nunca;Tal vez;Tal vez;Dependa cuanto se extienda esta cuarentena.y ya estamos viendo los cambios;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-21T23:23:01Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;60;Hombre;Sí;Sigue igual;Sí;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Servicios;Entre un 10% y un 30%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;No, trabajo más horas;Planifico todas las tareas del día;Pongo música/radio;A veces;No;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-22T00:46:38Z;Argentina;NA;NA;NA;NA;Buenos Aires;39;Mujer;Sí;Mejoró;No;No;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Pyme / Manofactura;Menos del 10%;Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;Si;Voy viendo según el día;Prefiero un ambiente en silencio;Nunca;Tal vez;Tal vez;Hay empresas, como donde yo trabajo, que todavia la Dirección tiene Resistencia al Trabajo en Remoto (Home Office), No la aprueba, ésta vez pasó por causa de fuerza mayor.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-22T13:40:38Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;24;Hombre;Sí;Mejoró;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Tecnología;NA;Skype/Microsoft Teams;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;Nunca;Tal vez;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-22T19:37:15Z;Argentina;NA;NA;NA;NA;Buenos Aires;24;Mujer;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;PyME Nacional;Cristal automotor;No;Sí;No
2020-03-23T05:29:35Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;21;Mujer;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;Empresa del Estado;NA;Más o menos;No;No
2020-03-23T10:57:50Z;España;Barcelona;36;Hombre;Sí;NA;NA;NA;NA;Empeoró;No;Sí;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Emprendimiento personal;Si;Medical Devices;Entre un 10% y un 30%;Zoom, Hangouts/Google Meet, Skype/Microsoft Teams, Mail, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Me pongo uno o dos objetivos nada más;Prefiero un ambiente en silencio;Sí, todo el tiempo;No;Sí;Al margen de la tecnología para el teletrabajo, considero que impactará en la cultura organizacional. El trabajo por objetivos, la colaboración y en como lograr que la gente sea productiva.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-23T12:36:05Z;Argentina;NA;NA;NA;NA;Buenos Aires;25;Mujer;Sí;Empeoró;No;No;Trabajar con gente en la oficina;Se mantiene igual de bien;Nacional;Si;Consultora;Entre un 10% y un 30%;Mail, WhatsApp, Red social interna (Yammer/Workplace);Sólo para comer;Te ponés lo primero que encontrás;Si;Voy viendo según el día;Prefiero un ambiente en silencio;Nunca;No;Tal vez;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-23T13:35:57Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;36;Hombre;Sí;Mejoró;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Desarrollo de software estadístico;Entre un 10% y un 30%;Hangouts/Google Meet, Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Prefiero un ambiente en silencio;A veces;Sí;Sí;Difícilmente las empresas puedan volver esta situación a foja cero, las que lo hagan van a quedar por detrás de las que hayan aprendido algo de la situación;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-23T15:35:07Z;Argentina;NA;NA;NA;NA;Santa Fe;29;Mujer;Sí;Empeoró;No;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Emprendimiento personal;Si;Consultora de RRHH;Más del 80%;Mail, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;A veces;No;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
